system,session,normalized_equity
M1,2024-06-06,1.076796769614103
M1,2024-06-07,1.080129591542015
M1,2024-06-10,1.0778741185502163
M1,2024-06-11,1.1048184445311742
M1,2024-06-12,1.1154562072731329
M1,2024-06-13,1.1122413881816253
M1,2024-06-14,1.1086161923008202
M1,2024-06-17,1.1172644534558573
M1,2024-06-18,1.1105241071762606
M1,2024-06-20,1.1076151785650472
M1,2024-06-21,1.1087509508031035
M1,2024-06-24,1.103749174826345
M1,2024-06-25,1.1068832275936265
M1,2024-06-26,1.1277371936446778
M1,2024-06-27,1.1368843826104558
M1,2024-06-28,1.1221033398359455
M1,2024-07-01,1.1407617458256978
M1,2024-07-02,1.1524207321915785
M1,2024-07-03,1.150569620186429
M1,2024-07-05,1.163947356539041
M2,2024-01-05,1.0
M2,2024-01-08,1.0
M2,2024-01-09,1.0
M2,2024-01-10,1.0
M2,2024-01-11,1.0
M2,2024-01-12,1.0
M2,2024-01-16,1.0
M2,2024-01-17,1.0
M2,2024-01-18,1.0
M2,2024-01-19,1.0
M2,2024-01-22,1.0
M2,2024-01-23,1.0
M2,2024-01-24,1.0
M2,2024-01-25,1.0
M2,2024-01-26,1.0
M2,2024-01-29,1.0
M2,2024-01-30,1.0
M2,2024-01-31,1.0
M2,2024-02-01,1.0
M2,2024-02-02,1.0
M2,2024-02-05,1.0
M2,2024-02-06,1.0
M2,2024-02-07,1.0
M2,2024-02-08,1.0
M2,2024-02-09,1.0
M2,2024-02-12,1.0
M2,2024-02-13,1.0
M2,2024-02-14,1.0
M2,2024-02-15,1.0
M2,2024-02-16,1.0
M2,2024-02-20,1.0
M2,2024-02-21,1.0
M2,2024-02-22,1.0
M2,2024-02-23,1.0
M2,2024-02-26,1.0
M2,2024-02-27,1.0
M2,2024-02-28,1.0
M2,2024-02-29,1.0
M2,2024-03-01,1.0
M2,2024-03-04,0.9997607091639072
M2,2024-03-05,0.9932706336650425
M2,2024-03-06,0.9921264306933105
M2,2024-03-07,0.9983351565244508
M2,2024-03-08,0.995577815398082
M2,2024-03-11,0.9892190554433379
M2,2024-03-12,0.9956528324598839
M2,2024-03-13,0.9978474457395449
M2,2024-03-14,1.0019553224435682
M2,2024-03-15,0.9938333616993246
M2,2024-03-18,0.9939459014538699
M2,2024-03-19,0.9966094499164355
M2,2024-03-20,1.0008298665625783
M2,2024-03-21,1.0008298665625783
M2,2024-03-22,1.002180402140233
M2,2024-03-25,1.0037560461133854
M2,2024-03-26,1.001111244929136
M2,2024-03-27,1.0039811258100502
M2,2024-03-28,1.005012789027237
M2,2024-04-01,1.0061194691186515
M2,2024-04-02,1.0055942639646869
M2,2024-04-03,1.0088205404615345
M2,2024-04-04,1.004299998358092
M2,2024-04-05,1.013810017560308
M2,2024-04-08,1.0140350972569727
M2,2024-04-09,1.0149354449300387
M2,2024-04-10,1.015460649896429
M2,2024-04-11,1.0212754577940404
M2,2024-04-12,1.0157982982340463
M2,2024-04-15,1.0110901706154234
M2,2024-04-16,1.0105274712799746
M2,2024-04-17,1.0067009442436754
M2,2024-04-18,1.002836922838318
M2,2024-04-19,0.9942272798204274
M2,2024-04-22,0.9982284256249535
M2,2024-04-23,0.9982284256249535
M2,2024-04-24,0.9982284256249535
M2,2024-04-25,0.9982284256249535
M2,2024-04-26,0.9982284256249535
M2,2024-04-29,0.9982284256249535
M2,2024-04-30,0.9982284256249535
M2,2024-05-01,0.9982284256249535
M2,2024-05-02,0.9982284256249535
