symbol,decision_session,next_evaluation_session,action,strategy_forward_return,same_stock_buy_hold_forward_return,underlying_forward_close_return,SPY_forward_return,strategy_excess_vs_stock,strategy_excess_vs_spy,commission_cost_in_period,slippage_cost_in_period,transaction_cost_in_period,average_exposure_in_period
AMZN,2024-05-31,2024-06-07,HOLD,0.04454772496647852,0.0445477249664783,0.04454772496647852,0.012552843310065676,2.220446049250313e-16,0.031994881656412844,0.0,0.0,0.0,1.0
AMZN,2024-06-07,2024-06-14,HOLD,-0.0034725957093594273,-0.0034725957093594273,-0.0034725957093594273,0.016374043071917477,0.0,-0.019846638781276904,0.0,0.0,0.0,1.0
AMZN,2024-06-14,2024-06-21,HOLD,0.02951104209304778,0.02951104209304778,0.029511042093047557,0.0064091486791495456,0.0,0.023101893413898233,0.0,0.0,0.0,1.0
AMZN,2024-06-21,2024-06-28,HOLD,0.022054147240863964,0.022054147240863742,0.022054147240863964,-0.0005293998050828197,2.220446049250313e-16,0.022583547045946784,0.0,0.0,0.0,1.0
AMZN,2024-06-28,2024-07-05,HOLD,0.03492884864165591,0.03492884864165613,0.03492884864165591,0.01902947265130095,-2.220446049250313e-16,0.015899375990354958,0.0,0.0,0.0,1.0
JPM,2024-01-05,2024-01-12,BUY,-0.018247438795523152,-0.018247438795523152,-0.018691595284298756,0.016595174092710163,0.0,-0.034842612888233315,49.97501249375312,49.95003747501825,99.92504996877136,0.8333333333333334
JPM,2024-01-12,2024-01-19,HOLD,0.00745338347763691,0.00745338347763691,0.00745338347763691,0.012062599832292298,0.0,-0.004609216354655388,0.0,0.0,0.0,1.0
JPM,2024-01-19,2024-01-26,HOLD,0.011567149478956873,0.011567149478956429,0.011567149478956873,0.010322764080501035,4.440892098500626e-16,0.0012443853984558384,0.0,0.0,0.0,1.0
JPM,2024-01-26,2024-02-02,HOLD,0.014221017628658128,0.014221017628658128,0.014221017628658128,0.014238530902766389,0.0,-1.7513274108260646e-05,0.0,0.0,0.0,1.0
JPM,2024-02-02,2024-02-09,HOLD,0.001602465557663857,0.001602465557664079,0.001602465557663857,0.013856591515069905,-2.220446049250313e-16,-0.012254125957406048,0.0,0.0,0.0,1.0
JPM,2024-02-09,2024-02-16,HOLD,0.02297014128527386,0.022970141285273638,0.02297014128527386,-0.0033719121286165388,2.220446049250313e-16,0.0263420534138904,0.0,0.0,0.0,1.0
JPM,2024-02-16,2024-02-23,HOLD,0.027704891544690247,0.027704891544690247,0.027704891544690247,0.016696354700357574,0.0,0.011008536844332673,0.0,0.0,0.0,1.0
JPM,2024-02-23,2024-03-01,HOLD,0.007065534872218837,0.007065534872218837,0.007065534872218837,0.00984536662389135,0.0,-0.0027798317516725124,0.0,0.0,0.0,1.0
JPM,2024-03-01,2024-03-08,HOLD,0.015813093021467717,0.01581309302146794,0.015813093021467717,-0.0022033234937330892,-2.220446049250313e-16,0.018016416515200806,0.0,0.0,0.0,1.0
JPM,2024-03-08,2024-03-15,HOLD,0.011050907909567975,0.011050907909567753,0.011050907909567975,-0.0005765156712814745,2.220446049250313e-16,0.01162742358084945,0.0,0.0,0.0,1.0
JPM,2024-03-15,2024-03-22,HOLD,0.03321067733603211,0.03321067733603211,0.03321067733603211,0.022251621837359847,0.0,0.010959055498672265,0.0,0.0,0.0,1.0
JPM,2024-03-22,2024-03-28,HOLD,0.018716346718085974,0.018716346718085974,0.018716346718085974,0.0035577035830387516,0.0,0.015158643135047223,0.0,0.0,0.0,1.0
JPM,2024-03-28,2024-04-05,HOLD,-0.008487299918568891,-0.00848729991856878,-0.01422868774783359,-0.008843766089677185,-1.1102230246251565e-16,0.00035646617110829393,0.0,0.0,0.0,0.9980609950095629
JPM,2024-04-05,2024-04-12,HOLD,-0.07381673629824725,-0.07381673629824737,-0.07424666411833203,-0.014576196733630642,1.1102230246251565e-16,-0.05924053956461661,0.0,0.0,0.0,0.9941164324068201
JPM,2024-04-12,2024-04-19,HOLD,0.016364085623786995,0.016364085623786995,0.016467038187697236,-0.03061792429086163,0.0,0.046982009914648626,0.0,0.0,0.0,0.9937295287170175
