session,symbol,series,equity,normalized_equity
2024-03-04,AMZN,same_stock_buy_and_hold,120895.83497696326,1.2089583497696326
2024-03-05,AMZN,same_stock_buy_and_hold,118540.27469549928,1.1854027469549928
2024-03-06,AMZN,same_stock_buy_and_hold,118124.98845196996,1.1812498845196995
2024-03-07,AMZN,same_stock_buy_and_hold,120378.43341865671,1.203784334186567
2024-03-08,AMZN,same_stock_buy_and_hold,119377.66181887212,1.1937766181887213
2024-03-11,AMZN,same_stock_buy_and_hold,117069.76225878549,1.170697622587855
2024-03-12,AMZN,same_stock_buy_and_hold,119404.88911557206,1.1940488911557205
2024-03-13,AMZN,same_stock_buy_and_hold,120201.41973769612,1.2020141973769611
2024-03-14,AMZN,same_stock_buy_and_hold,121692.36559908732,1.2169236559908732
2024-03-15,AMZN,same_stock_buy_and_hold,118744.51574123946,1.1874451574123945
2024-03-18,AMZN,same_stock_buy_and_hold,118785.36182630256,1.1878536182630255
2024-03-19,AMZN,same_stock_buy_and_hold,119752.0915611526,1.197520915611526
2024-03-20,AMZN,same_stock_buy_and_hold,121283.8835756866,1.212838835756866
2024-03-21,AMZN,same_stock_buy_and_hold,121283.8835756866,1.212838835756866
2024-03-22,AMZN,same_stock_buy_and_hold,121774.0578372932,1.217740578372932
2024-03-25,AMZN,same_stock_buy_and_hold,122345.93475329138,1.2234593475329139
2024-03-26,AMZN,same_stock_buy_and_hold,121386.00930664952,1.2138600930664951
2024-03-27,AMZN,same_stock_buy_and_hold,122427.62699149724,1.2242762699149723
2024-03-28,AMZN,same_stock_buy_and_hold,122802.06714996342,1.2280206714996342
2024-04-01,AMZN,same_stock_buy_and_hold,123203.73453704992,1.2320373453704991
2024-04-02,AMZN,same_stock_buy_and_hold,123013.11234775254,1.2301311234775254
2024-04-03,AMZN,same_stock_buy_and_hold,124184.08312834278,1.241840831283428
2024-04-04,AMZN,same_stock_buy_and_hold,122543.36116271732,1.2254336116271731
2024-04-05,AMZN,same_stock_buy_and_hold,125995.0041386146,1.259950041386146
2024-04-08,AMZN,same_stock_buy_and_hold,126076.69637682047,1.2607669637682046
2024-04-09,AMZN,same_stock_buy_and_hold,126403.4758139093,1.264034758139093
2024-04-10,AMZN,same_stock_buy_and_hold,126594.09793512702,1.2659409793512701
2024-04-11,AMZN,same_stock_buy_and_hold,128704.57115386736,1.2870457115386735
2024-04-12,AMZN,same_stock_buy_and_hold,126716.64674266134,1.2671664674266134
2024-04-15,AMZN,same_stock_buy_and_hold,125007.84097908712,1.2500784097908713
2024-04-16,AMZN,same_stock_buy_and_hold,124803.61034953262,1.2480361034953262
2024-04-17,AMZN,same_stock_buy_and_hold,123414.77980291864,1.2341477980291864
2024-04-18,AMZN,same_stock_buy_and_hold,122012.34074796794,1.2201234074796794
