account_symbol,timestamp,session,symbol,cash,quantity,close_price,market_value,equity,current_weight,average_entry_price,unrealized_pnl,realized_pnl,cumulative_cost,current_drawdown,peak_equity,cumulative_dividends,cumulative_commission_cost,cumulative_slippage_cost,cumulative_transaction_cost
AMZN,2024-02-15T21:00:00+00:00,2024-02-15,AMZN,0.0,680.796450903985,169.8000031,115599.23947396566,115599.23947396566,1.0,146.81337550274998,15599.239473965657,0.0,99.92504996875661,-0.02665516699702508,118764.9387497312,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-02-16T21:00:00+00:00,2024-02-16,AMZN,0.0,680.796450903985,169.5099945,115401.80264835403,115401.80264835403,1.0,146.81337550274998,15401.802648354029,0.0,99.92504996875661,-0.0283175837648868,118764.9387497312,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-02-20T21:00:00+00:00,2024-02-20,AMZN,0.0,680.796450903985,167.0800018,113747.47224247143,113747.47224247143,1.0,146.81337550274998,13747.472242471427,0.0,99.92504996875661,-0.04224703485792958,118764.9387497312,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-02-21T21:00:00+00:00,2024-02-21,AMZN,0.0,680.796450903985,168.5899963,114775.47113895597,114775.47113895597,1.0,146.81337550274998,14775.471138955969,0.0,99.92504996875661,-0.033591290937993734,118764.9387497312,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-02-22T21:00:00+00:00,2024-02-22,AMZN,0.0,680.796450903985,174.5800018,118853.44562425131,118853.44562425131,1.0,146.81337550274998,18853.445624251315,0.0,99.92504996875661,0.0,118853.44562425131,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-02-23T21:00:00+00:00,2024-02-23,AMZN,0.0,680.796450903985,174.9900055,119132.57468806882,119132.57468806882,1.0,146.81337550274998,19132.57468806882,0.0,99.92504996875661,0.0,119132.57468806882,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-02-26T21:00:00+00:00,2024-02-26,AMZN,0.0,680.796450903985,174.7299957,118955.56093902855,118955.56093902855,1.0,146.81337550274998,18955.56093902856,0.0,99.92504996875661,-0.0014858551450244173,119132.57468806882,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-02-27T21:00:00+00:00,2024-02-27,AMZN,0.0,680.796450903985,173.5399933,118145.41152854134,118145.41152854134,1.0,146.81337550274998,18145.41152854134,0.0,99.92504996875661,-0.008286257239988548,119132.57468806882,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-02-28T21:00:00+00:00,2024-02-28,AMZN,0.0,680.796450903985,173.1600037,117886.71595748092,117886.71595748092,1.0,146.81337550274998,17886.715957480923,0.0,99.92504996875661,-0.010457750399922139,119132.57468806882,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-02-29T21:00:00+00:00,2024-02-29,AMZN,0.0,680.796450903985,176.7599945,120337.57691740792,120337.57691740792,1.0,146.81337550274998,20337.57691740792,0.0,99.92504996875661,0.0,120337.57691740792,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-03-01T21:00:00+00:00,2024-03-01,AMZN,0.0,680.796450903985,178.2200012,121331.54429706396,121331.54429706396,1.0,146.81337550274998,21331.544297063967,0.0,99.92504996875661,0.0,121331.54429706396,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-03-04T21:00:00+00:00,2024-03-04,AMZN,0.0,680.796450903985,177.5800018,120895.83497696326,120895.83497696326,1.0,146.81337550274998,20895.83497696327,0.0,99.92504996875661,-0.0035910638294845976,121331.54429706396,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-03-05T21:00:00+00:00,2024-03-05,AMZN,0.0,680.796450903985,174.1199951,118540.27469549928,118540.27469549928,1.0,146.81337550274998,18540.274695499276,0.0,99.92504996875661,-0.023005308452438644,121331.54429706396,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-03-06T21:00:00+00:00,2024-03-06,AMZN,0.0,680.796450903985,173.5099945,118124.98845196997,118124.98845196997,1.0,146.81337550274998,18124.98845196997,0.0,99.92504996875661,-0.026428047740356453,121331.54429706396,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-03-07T21:00:00+00:00,2024-03-07,AMZN,0.0,680.796450903985,176.8200073,120378.43341865671,120378.43341865671,1.0,146.81337550274998,20378.433418656718,0.0,99.92504996875661,-0.00785542526413141,121331.54429706396,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-03-08T21:00:00+00:00,2024-03-08,AMZN,0.0,680.796450903985,175.3500061,119377.66181887213,119377.66181887213,1.0,146.81337550274998,19377.66181887213,0.0,99.92504996875661,-0.016103664463447354,121331.54429706396,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-03-11T20:00:00+00:00,2024-03-11,AMZN,0.0,680.796450903985,171.9600067,117069.76225878549,117069.76225878549,1.0,146.81337550274998,17069.762258785497,0.0,99.92504996875661,-0.03512509515121698,121331.54429706396,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-03-12T20:00:00+00:00,2024-03-12,AMZN,0.0,680.796450903985,175.3899994,119404.88911557206,119404.88911557206,1.0,146.81337550274998,19404.889115572063,0.0,99.92504996875661,-0.015879260357675284,121331.54429706396,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-03-13T20:00:00+00:00,2024-03-13,AMZN,0.0,680.796450903985,176.5599976,120201.41973769612,120201.41973769612,1.0,146.81337550274998,20201.41973769612,0.0,99.92504996875661,-0.009314350739663135,121331.54429706396,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-03-14T20:00:00+00:00,2024-03-14,AMZN,0.0,680.796450903985,178.75,121692.36559908732,121692.36559908732,1.0,146.81337550274998,21692.365599087327,0.0,99.92504996875661,0.0,121692.36559908732,0.0,49.97501249375312,49.95003747500349,99.92504996875661
AMZN,2024-03-15T20:00:00+00:00,2024-03-15,AMZN,0.0,680.796450903985,174.4199982,118744.51574123946,118744.51574123946,1.0,146.81337550274998,18744.515741239466,0.0,99.92504996875661,-0.02422378629370625,121692.36559908732,0.0,49.97501249375312,49.95003747500349,99.92504996875661
