case_id,symbol,split_role,decision_session,state_template,R1_action_spread,R1_best_action_set,R2_action_spread,R2_best_action_set,R3_action_spread,R3_best_action_set,R2_R3_best_set_changed
ARR:2023-05-19,ARR,TRAIN,2023-05-19,LONG,0.011473971446351303,{SELL},0.011473971446351332,{SELL},0.011473971446351332,{SELL},False
ARR:2023-05-26,ARR,TRAIN,2023-05-26,CASH,0.0551271893351696,{BUY},0.0551271893351696,{BUY},0.049168894890981217,{BUY},False
ARR:2023-05-26,ARR,TRAIN,2023-05-26,LONG,0.057127189501835762,"{BUY,HOLD}",0.057127189501835741,"{BUY,HOLD}",0.057127189501835741,"{BUY,HOLD}",False
ARR:2023-06-02,ARR,TRAIN,2023-06-02,CASH,0.00095144038939485611,{BUY},0.00095144038939485611,{BUY},0.012787750718620461,"{HOLD,SELL}",True
ARR:2023-06-02,ARR,TRAIN,2023-06-02,LONG,0.0029514405560611542,"{BUY,HOLD}",0.0029514405560612735,"{BUY,HOLD}",0.0029514405560612735,"{BUY,HOLD}",False
ARR:2023-06-09,ARR,TRAIN,2023-06-09,CASH,0.027820703267004733,{BUY},0.027820703267004733,{BUY},0.018269546592668443,{BUY},False
ARR:2023-06-09,ARR,TRAIN,2023-06-09,LONG,0.029820703433671585,"{BUY,HOLD}",0.029820703433671582,"{BUY,HOLD}",0.029820703433671582,"{BUY,HOLD}",False
ARR:2023-06-16,ARR,TRAIN,2023-06-16,CASH,0.00099975008330204017,"{HOLD,SELL}",0.00099975008330204017,"{HOLD,SELL}",0.031949966261927906,"{HOLD,SELL}",False
ARR:2023-06-16,ARR,TRAIN,2023-06-16,LONG,0.0010002500833645618,"{BUY,HOLD}",0.0010002500833645618,"{BUY,HOLD}",0.0010002500833645618,"{BUY,HOLD}",False
ARR:2023-06-30,ARR,VALIDATION,2023-06-30,CASH,0.033352728299293401,"{HOLD,SELL}",0.033352728299293401,"{HOLD,SELL}",0.089190166448547575,"{HOLD,SELL}",False
ARR:2023-06-30,ARR,VALIDATION,2023-06-30,LONG,0.031352728132627003,{SELL},0.031352728132627045,{SELL},0.031352728132627045,{SELL},False
ARR:2023-07-07,ARR,VALIDATION,2023-07-07,CASH,0.012673063961018624,"{HOLD,SELL}",0.012673063961018624,"{HOLD,SELL}",0.037795201958788077,"{HOLD,SELL}",False
ARR:2023-07-07,ARR,VALIDATION,2023-07-07,LONG,0.010673063794351956,{SELL},0.010673063794352004,{SELL},0.010673063794352004,{SELL},False
EML:2023-05-05,EML,TRAIN,2023-05-05,CASH,0.023004773273828182,"{HOLD,SELL}",0.023004773273828182,"{HOLD,SELL}",0.045009796464354553,"{HOLD,SELL}",False
EML:2023-05-05,EML,TRAIN,2023-05-05,LONG,0.021004773107161808,{SELL},0.021004773107161805,{SELL},0.021004773107161805,{SELL},False
EML:2023-05-12,EML,TRAIN,2023-05-12,CASH,0.0051926098514222634,"{HOLD,SELL}",0.0051926098514222634,"{HOLD,SELL}",0.015344985565625274,"{HOLD,SELL}",False
EML:2023-05-12,EML,TRAIN,2023-05-12,LONG,0.0031926096847558366,{SELL},0.0031926096847556987,{SELL},0.0031926096847556987,{SELL},False
EML:2023-05-19,EML,TRAIN,2023-05-19,CASH,0.027891054338786993,"{HOLD,SELL}",0.027891054338786993,"{HOLD,SELL}",0.080969527640158953,"{HOLD,SELL}",False
EML:2023-05-19,EML,TRAIN,2023-05-19,LONG,0.025891054172120481,{SELL},0.025891054172120408,{SELL},0.025891054172120408,{SELL},False
EML:2023-05-26,EML,TRAIN,2023-05-26,CASH,0.005235744411923959,"{HOLD,SELL}",0.005235744411923959,"{HOLD,SELL}",0.021674382273888217,"{HOLD,SELL}",False
EML:2023-05-26,EML,TRAIN,2023-05-26,LONG,0.0032357442452575903,{SELL},0.0032357442452575482,{SELL},0.0032357442452575482,{SELL},False
EML:2023-06-02,EML,TRAIN,2023-06-02,CASH,0.046770480786359606,{BUY},0.046770480786359606,{BUY},0.046770480786359606,{BUY},False
EML:2023-06-02,EML,TRAIN,2023-06-02,LONG,0.048770480953026447,"{BUY,HOLD}",0.048770480953026447,"{BUY,HOLD}",0.048770480953026447,"{BUY,HOLD}",False
EML:2023-06-09,EML,TRAIN,2023-06-09,CASH,0.14370573621251828,{BUY},0.14370573621251828,{BUY},0.14370573621251828,{BUY},False
EML:2023-06-09,EML,TRAIN,2023-06-09,LONG,0.1457057363791851,"{BUY,HOLD}",0.14570573637918496,"{BUY,HOLD}",0.14570573637918496,"{BUY,HOLD}",False
EML:2023-06-16,EML,TRAIN,2023-06-16,CASH,0.10533936710171851,"{HOLD,SELL}",0.10533936710171851,"{HOLD,SELL}",0.20967898412013511,"{HOLD,SELL}",False
EML:2023-06-16,EML,TRAIN,2023-06-16,LONG,0.10333936693505204,{SELL},0.10333936693505207,{SELL},0.10333936693505207,{SELL},False
EML:2023-06-30,EML,VALIDATION,2023-06-30,CASH,0.018016492743634913,{BUY},0.018016492743634913,{BUY},0.014137314162930927,{BUY},False
EML:2023-06-30,EML,VALIDATION,2023-06-30,LONG,0.020016492910301501,"{BUY,HOLD}",0.020016492910301505,"{BUY,HOLD}",0.020016492910301505,"{BUY,HOLD}",False
EML:2023-07-07,EML,VALIDATION,2023-07-07,CASH,0.0087906240979022474,"{HOLD,SELL}",0.0087906240979022474,"{HOLD,SELL}",0.030890950797563217,"{HOLD,SELL}",False
EML:2023-07-07,EML,VALIDATION,2023-07-07,LONG,0.0067906239312357872,{SELL},0.0067906239312356832,{SELL},0.0067906239312356832,{SELL},False
JBSS:2023-05-05,JBSS,TRAIN,2023-05-05,CASH,0.042440533661951427,"{HOLD,SELL}",0.042440533661951427,"{HOLD,SELL}",0.083881317240600994,"{HOLD,SELL}",False
JBSS:2023-05-05,JBSS,TRAIN,2023-05-05,LONG,0.040440533495285112,{SELL},0.040440533495285091,{SELL},0.040440533495285091,{SELL},False
JBSS:2023-05-12,JBSS,TRAIN,2023-05-12,CASH,0.0043641649453644666,{BUY},0.0043641649453644666,{BUY},0.005997633338334126,"{HOLD,SELL}",True
JBSS:2023-05-12,JBSS,TRAIN,2023-05-12,LONG,0.0063641651120306623,"{BUY,HOLD}",0.0063641651120307742,"{BUY,HOLD}",0.0063641651120307742,"{BUY,HOLD}",False
JBSS:2023-05-19,JBSS,TRAIN,2023-05-19,CASH,0.037343879039848468,{BUY},0.037343879039848468,{BUY},0.033597235891548095,{BUY},False
JBSS:2023-05-19,JBSS,TRAIN,2023-05-19,LONG,0.039343879206515053,"{BUY,HOLD}",0.039343879206514935,"{BUY,HOLD}",0.039343879206514935,"{BUY,HOLD}",False
JBSS:2023-05-26,JBSS,TRAIN,2023-05-26,CASH,0.01502908298151215,{BUY},0.01502908298151215,{BUY},0.0017593781391716228,"{HOLD,SELL}",True
JBSS:2023-05-26,JBSS,TRAIN,2023-05-26,LONG,0.017029083148178546,"{BUY,HOLD}",0.017029083148178383,"{BUY,HOLD}",0.017029083148178383,"{BUY,HOLD}",False
JBSS:2023-06-02,JBSS,TRAIN,2023-06-02,CASH,0.037658840544012313,{BUY},0.037658840544012313,{BUY},0.029867727289885345,{BUY},False
JBSS:2023-06-02,JBSS,TRAIN,2023-06-02,LONG,0.03965884071067878,"{BUY,HOLD}",0.039658840710678718,"{BUY,HOLD}",0.039658840710678718,"{BUY,HOLD}",False
JBSS:2023-06-09,JBSS,TRAIN,2023-06-09,CASH,0.019362917239933636,{BUY},0.019362917239933636,{BUY},0.0045873530677252531,{BUY},False
JBSS:2023-06-09,JBSS,TRAIN,2023-06-09,LONG,0.021362917406600054,"{BUY,HOLD}",0.021362917406599981,"{BUY,HOLD}",0.021362917406599981,"{BUY,HOLD}",False
JBSS:2023-06-16,JBSS,TRAIN,2023-06-16,CASH,0.002360770281652273,"{HOLD,SELL}",0.002360770281652273,"{HOLD,SELL}",0.014917417062439256,"{HOLD,SELL}",False
JBSS:2023-06-16,JBSS,TRAIN,2023-06-16,LONG,0.00036077011498597653,{SELL},0.00036077011498592362,{SELL},0.00036077011498592362,{SELL},False
JBSS:2023-06-30,JBSS,VALIDATION,2023-06-30,CASH,0.053184014208260362,"{HOLD,SELL}",0.053184014208260362,"{HOLD,SELL}",0.11736784430552519,"{HOLD,SELL}",False
JBSS:2023-06-30,JBSS,VALIDATION,2023-06-30,LONG,0.051184014041593742,{SELL},0.051184014041593721,{SELL},0.051184014041593721,{SELL},False
JBSS:2023-07-07,JBSS,VALIDATION,2023-07-07,CASH,0.020960465207505035,"{HOLD,SELL}",0.020960465207505035,"{HOLD,SELL}",0.049676623932006274,"{HOLD,SELL}",False
JBSS:2023-07-07,JBSS,VALIDATION,2023-07-07,LONG,0.018960465040838467,{SELL},0.018960465040838478,{SELL},0.018960465040838478,{SELL},False
JPM:2023-05-05,JPM,TRAIN,2023-05-05,CASH,0.025965141499279761,"{HOLD,SELL}",0.025965141499279761,"{HOLD,SELL}",0.050930532915257384,"{HOLD,SELL}",False
JPM:2023-05-05,JPM,TRAIN,2023-05-05,LONG,0.023965141332612946,{SELL},0.023965141332612894,{SELL},0.023965141332612894,{SELL},False
JPM:2023-05-12,JPM,TRAIN,2023-05-12,CASH,0.034915526773695485,{BUY},0.034915526773695485,{BUY},0.028163593203215598,{BUY},False
JPM:2023-05-12,JPM,TRAIN,2023-05-12,LONG,0.036915526940362119,"{BUY,HOLD}",0.036915526940361987,"{BUY,HOLD}",0.036915526940361987,"{BUY,HOLD}",False
JPM:2023-05-19,JPM,TRAIN,2023-05-19,CASH,0.030216749242629907,"{HOLD,SELL}",0.030216749242629907,"{HOLD,SELL}",0.071186536155273844,"{HOLD,SELL}",False
JPM:2023-05-19,JPM,TRAIN,2023-05-19,LONG,0.028216749075963245,{SELL},0.028216749075963232,{SELL},0.028216749075963232,{SELL},False
JPM:2023-05-26,JPM,TRAIN,2023-05-26,CASH,0.015601401084986631,{BUY},0.015601401084986631,{BUY},0.0027886921133347918,{BUY},False
JPM:2023-05-26,JPM,TRAIN,2023-05-26,LONG,0.017601401251653354,"{BUY,HOLD}",0.017601401251653388,"{BUY,HOLD}",0.017601401251653388,"{BUY,HOLD}",False
JPM:2023-06-02,JPM,TRAIN,2023-06-02,CASH,0.0054031880960203121,{BUY},0.0054031880960203121,{BUY},0.0019034655519121193,"{HOLD,SELL}",True
JPM:2023-06-02,JPM,TRAIN,2023-06-02,LONG,0.0074031882626869674,"{BUY,HOLD}",0.0074031882626869648,"{BUY,HOLD}",0.0074031882626869648,"{BUY,HOLD}",False
JPM:2023-06-09,JPM,TRAIN,2023-06-09,CASH,0.014405099877498278,{BUY},0.014405099877498278,{BUY},0.010666258925990489,{BUY},False
JPM:2023-06-09,JPM,TRAIN,2023-06-09,LONG,0.016405100044164785,"{BUY,HOLD}",0.016405100044164674,"{BUY,HOLD}",0.016405100044164674,"{BUY,HOLD}",False
JPM:2023-06-16,JPM,TRAIN,2023-06-16,CASH,0.025273462557329207,"{HOLD,SELL}",0.025273462557329207,"{HOLD,SELL}",0.051992840828174833,"{HOLD,SELL}",False
JPM:2023-06-16,JPM,TRAIN,2023-06-16,LONG,0.023273462390662768,{SELL},0.02327346239066282,{SELL},0.02327346239066282,{SELL},False
JPM:2023-06-30,JPM,VALIDATION,2023-06-30,CASH,0.0012734622045042485,"{HOLD,SELL}",0.0012734622045042485,"{HOLD,SELL}",0.017778849213166168,"{HOLD,SELL}",False
JPM:2023-06-30,JPM,VALIDATION,2023-06-30,LONG,0.00072653796216233274,"{BUY,HOLD}",0.00072653796216224232,"{BUY,HOLD}",0.00072653796216224232,"{BUY,HOLD}",False
JPM:2023-07-07,JPM,VALIDATION,2023-07-07,CASH,0.034821555079204577,{BUY},0.034821555079204577,{BUY},0.034821555079204577,{BUY},False
JPM:2023-07-07,JPM,VALIDATION,2023-07-07,LONG,0.036821555245871586,"{BUY,HOLD}",0.03682155524587144,"{BUY,HOLD}",0.03682155524587144,"{BUY,HOLD}",False
