case_id,symbol,split_role,decision_session,execution_session,maturity_session,state_template,action,decision_close_price,pre_execution_equity,terminal_equity,hold_terminal_equity,turnover_notional,commission_cost,slippage_cost,total_cost,action_was_noop,action_mdd,hold_mdd,r3_drawdown_penalty,R1,R2,R3
AEMD:2023-06-09,AEMD,TRAIN,2023-06-09,2023-06-12,2023-06-16,LONG,HOLD,280,97142.857142857145,105714.28571428572,105714.28571428572,0,0,0,0,True,0,0,0,0.084557388028063174,0,0
AEMD:2023-06-09,AEMD,TRAIN,2023-06-09,2023-06-12,2023-06-16,LONG,SELL,280,97142.857142857145,97045.738571428592,105714.28571428572,97094.285714285739,48.547142857142873,48.571428571416881,97.118571428559761,False,0,0,0,-0.0010002500833644506,-0.085557638111427539,-0.085557638111427539
AEMD:2023-06-16,AEMD,TRAIN,2023-06-16,2023-06-20,2023-06-26,CASH,BUY,296,100000,102600.07697570777,100000,99950.024987506244,49.97501249375312,49.950037475004727,99.925049968757847,False,0,0,0,0.025668496998859373,0.025668496998859373,0.025668496998859373
AEMD:2023-06-16,AEMD,TRAIN,2023-06-16,2023-06-20,2023-06-26,CASH,HOLD,296,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AEMD:2023-06-16,AEMD,TRAIN,2023-06-16,2023-06-20,2023-06-26,CASH,SELL,296,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AEMD:2023-06-16,AEMD,TRAIN,2023-06-16,2023-06-20,2023-06-26,LONG,BUY,296,99999.999999999985,102702.70270270269,102702.70270270269,0,0,0,0,True,0,0,0,0.026668247082161273,0,0
AEMD:2023-06-16,AEMD,TRAIN,2023-06-16,2023-06-20,2023-06-26,LONG,HOLD,296,99999.999999999985,102702.70270270269,102702.70270270269,0,0,0,0,True,0,0,0,0.026668247082161273,0,0
AEMD:2023-06-16,AEMD,TRAIN,2023-06-16,2023-06-20,2023-06-26,LONG,SELL,296,99999.999999999985,99900.024999999994,102702.70270270269,99950,49.975000000000001,49.999999999989086,99.97499999998908,False,0,0,0,-0.0010002500833645618,-0.027668497165525909,-0.027668497165525909
AEMD:2023-06-30,AEMD,VALIDATION,2023-06-30,2023-07-03,2023-07-10,CASH,BUY,288,100000,113400.08507841385,100000,99950.024987506244,49.97501249375312,49.950037475004727,99.925049968757847,False,0.08108108108108103,0,0.084557388028062994,0.12575195555584182,0.12575195555584182,0.041194567527778822
AEMD:2023-06-30,AEMD,VALIDATION,2023-06-30,2023-07-03,2023-07-10,CASH,HOLD,288,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AEMD:2023-06-30,AEMD,VALIDATION,2023-06-30,2023-07-03,2023-07-10,CASH,SELL,288,100000,100000,100000,0,0,0,0,True,0,0,0,0,0,0
AEMD:2023-06-30,AEMD,VALIDATION,2023-06-30,2023-07-03,2023-07-10,LONG,BUY,288,102777.77777777778,116666.66666666667,116666.66666666667,0,0,0,0,True,0.08108108108108103,0.08108108108108103,0,0.12675170563914381,0,0
AEMD:2023-06-30,AEMD,VALIDATION,2023-06-30,2023-07-03,2023-07-10,LONG,HOLD,288,102777.77777777778,116666.66666666667,116666.66666666667,0,0,0,0,True,0.08108108108108103,0.08108108108108103,0,0.12675170563914381,0,0
AEMD:2023-06-30,AEMD,VALIDATION,2023-06-30,2023-07-03,2023-07-10,LONG,SELL,288,102777.77777777778,102675.02569444446,116666.66666666667,102726.38888888891,51.363194444444453,51.38888888887768,102.75208333332213,False,0,0.08108108108108103,0,-0.0010002500833645618,-0.12775195572250844,-0.12775195572250844
