Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-11-03,433.1400146,436.2900085,433.0100098,434.6900024,100167800,0,0
2023-11-06,435.4700012,436.1499939,433.6799927,435.6900024,67831700,0,0
2023-11-07,435.6900024,437.5899963,434.5100098,436.9299927,64256100,0,0
2023-11-08,437.5499878,438.0899963,434.8699951,437.25,61746000,0,0
2023-11-09,438.4299927,438.4700012,433.3999939,433.8399963,83174400,0,0
2023-11-10,435.980011,440.9299927,433.8299866,440.6099854,89462200,0,0
2023-11-13,439.230011,441.3299866,438.4200134,440.1900024,52236100,0,0
2023-11-14,446.3200073,450.0599976,446.0899963,448.730011,97176900,0,0
2023-11-15,450.1099854,451.3800049,448.7999878,449.6799927,77327600,0,0
2023-11-16,449.2200012,450.5599976,448.1199951,450.230011,66665800,0,0
2023-11-17,450.2399902,451.4200134,449.2900085,450.7900085,83133200,0,0
2023-11-20,450.5299988,455.1300049,450.519989,454.2600098,69936200,0,0
2023-11-21,453.1799927,454.1300049,451.9599915,453.269989,49244600,0,0
2023-11-22,454.980011,456.3800049,453.8900146,455.019989,59394900,0,0
2023-11-24,455.0700073,455.5,454.730011,455.2999878,29737400,0,0
2023-11-27,454.6499939,455.4899902,454.0799866,454.480011,50506000,0,0
2023-11-28,454.0799866,456.269989,453.5,454.9299927,62115000,0,0
2023-11-29,457.1499939,458.3200073,454.2000122,454.6099854,63146000,0,0
2023-11-30,455.480011,456.7600098,453.3399963,456.3999939,79752700,0,0
2023-12-01,455.769989,459.6499939,455.1600037,459.1000061,89183400,0,0
2023-12-04,455.6000061,459.1199951,454.3399963,456.6900024,72430900,0,0
2023-12-05,455.2600098,457.5899963,454.8699951,456.6000061,69793500,0,0
2023-12-06,458.8099976,458.8399963,454.3099976,454.7600098,69124700,0,0
2023-12-07,456.9100037,458.8999939,456.2900085,458.230011,66995400,0,0
2023-12-08,457.4599915,460.75,457.2099915,460.2000122,83194400,0,0
2023-12-11,459.6900024,462.1700134,459.4700012,461.9899902,65002200,0,0
2023-12-12,461.6300049,464.2000122,460.6000061,464.1000061,68327600,0,0
2023-12-13,464.4899902,470.7600098,464.1199951,470.5,93278000,0,0
2023-12-14,472.5,473.730011,469.25,472.0100098,119026000,0,0
2023-12-15,469.4899902,470.7000122,467.4299927,469.3299866,141553700,1.906,0
2023-12-18,470.980011,472.980011,469.8900146,471.9700012,70375300,0,0
2023-12-19,472.5299988,474.9200134,472.4500122,474.8399963,55761800,0,0
2023-12-20,473.9599915,475.8999939,467.8200073,468.2600098,102921000,0,0
2023-12-21,471.3299866,472.980011,468.8399963,472.7000122,86667500,0,0
2023-12-22,473.8599854,475.3800049,471.7000122,473.6499939,67160400,0,0
2023-12-26,474.0700073,476.5799866,473.9899902,475.6499939,55387000,0,0
2023-12-27,475.4400024,476.6600037,474.8900146,476.5100098,68000300,0,0
2023-12-28,476.8800049,477.5499878,476.2600098,476.6900024,77158100,0,0
2023-12-29,476.4899902,477.0299988,473.2999878,475.3099976,122283100,0,0
2024-01-02,472.1600037,473.6700134,470.4899902,472.6499939,123623700,0,0
2024-01-03,470.4299927,471.1900024,468.1700134,468.7900085,103585900,0,0
2024-01-04,468.2999878,470.9599915,467.0499878,467.2799988,84232200,0,0
