session,symbol,series,drawdown
2024-02-23,AMZN,same_stock_buy_and_hold,0.0
2024-02-26,AMZN,same_stock_buy_and_hold,-0.0014858551450244173
2024-02-27,AMZN,same_stock_buy_and_hold,-0.008286257239988548
2024-02-28,AMZN,same_stock_buy_and_hold,-0.010457750399922139
2024-02-29,AMZN,same_stock_buy_and_hold,0.0
2024-03-01,AMZN,same_stock_buy_and_hold,0.0
2024-03-04,AMZN,same_stock_buy_and_hold,-0.0035910638294845976
2024-03-05,AMZN,same_stock_buy_and_hold,-0.023005308452438644
2024-03-06,AMZN,same_stock_buy_and_hold,-0.026428047740356453
2024-03-07,AMZN,same_stock_buy_and_hold,-0.00785542526413141
2024-03-08,AMZN,same_stock_buy_and_hold,-0.016103664463447354
2024-03-11,AMZN,same_stock_buy_and_hold,-0.03512509515121698
2024-03-12,AMZN,same_stock_buy_and_hold,-0.015879260357675284
2024-03-13,AMZN,same_stock_buy_and_hold,-0.009314350739663135
2024-03-14,AMZN,same_stock_buy_and_hold,0.0
2024-03-15,AMZN,same_stock_buy_and_hold,-0.02422378629370625
2024-03-18,AMZN,same_stock_buy_and_hold,-0.023888135944056033
2024-03-19,AMZN,same_stock_buy_and_hold,-0.015944090069930028
2024-03-20,AMZN,same_stock_buy_and_hold,-0.003356677482517445
2024-03-21,AMZN,same_stock_buy_and_hold,-0.003356677482517445
2024-03-22,AMZN,same_stock_buy_and_hold,0.0
2024-03-25,AMZN,same_stock_buy_and_hold,0.0
2024-03-26,AMZN,same_stock_buy_and_hold,-0.007845993809091567
2024-03-27,AMZN,same_stock_buy_and_hold,0.0
2024-03-28,AMZN,same_stock_buy_and_hold,0.0
2024-04-01,AMZN,same_stock_buy_and_hold,0.0
2024-04-02,AMZN,same_stock_buy_and_hold,-0.00154721112970857
2024-04-03,AMZN,same_stock_buy_and_hold,0.0
2024-04-04,AMZN,same_stock_buy_and_hold,-0.013212014972400321
2024-04-05,AMZN,same_stock_buy_and_hold,0.0
2024-04-08,AMZN,same_stock_buy_and_hold,0.0
2024-04-09,AMZN,same_stock_buy_and_hold,0.0
2024-04-10,AMZN,same_stock_buy_and_hold,0.0
2024-04-11,AMZN,same_stock_buy_and_hold,0.0
2024-04-12,AMZN,same_stock_buy_and_hold,-0.015445639524562349
2024-04-15,AMZN,same_stock_buy_and_hold,-0.028722602015127885
2024-04-16,AMZN,same_stock_buy_and_hold,-0.030309419233222945
2024-04-17,AMZN,same_stock_buy_and_hold,-0.041100260103619224
2024-04-18,AMZN,same_stock_buy_and_hold,-0.05199683543406397
2024-04-19,AMZN,same_stock_buy_and_hold,-0.07627610665720219
2024-04-22,AMZN,same_stock_buy_and_hold,-0.06252318014376168
2024-04-23,AMZN,same_stock_buy_and_hold,-0.0503042033539115
2024-04-24,AMZN,same_stock_buy_and_hold,-0.06590852470607544
2024-04-25,AMZN,same_stock_buy_and_hold,-0.08135416370167725
2024-04-26,AMZN,same_stock_buy_and_hold,-0.04988102536561123
2024-04-29,AMZN,same_stock_buy_and_hold,-0.04279289218377169
2024-04-30,AMZN,same_stock_buy_and_hold,-0.07431897841635104
2024-05-01,AMZN,same_stock_buy_and_hold,-0.05316055506586759
2024-05-02,AMZN,same_stock_buy_and_hold,-0.022904003327149258
2024-05-03,AMZN,same_stock_buy_and_hold,-0.015022461536262188
2024-05-06,AMZN,same_stock_buy_and_hold,-0.0018513948387234302
2024-05-07,AMZN,same_stock_buy_and_hold,-0.0015340311835202458
2024-05-08,AMZN,same_stock_buy_and_hold,-0.005554102527279947
2024-05-09,AMZN,same_stock_buy_and_hold,0.0
2024-05-10,AMZN,same_stock_buy_and_hold,-0.010659653298153215
2024-05-13,AMZN,same_stock_buy_and_hold,-0.015461702902374808
